ID,ENGLISH,FRENCH
general.DOC_CORRECTION,DOCUMENTED CORRECTIVES ACTIONS,ACTIONS CORRECTIVES DOCUMENTÉES
general.MAP,Laboratory GIS Location,Emplacements des laboratoires SIG
general.MODAL_DIALOG,Modal Dialog,Boîte de dialogue modale
general.MODAL_CON,Modal body content here...,Contenu du corps modal ici...
general.CLOSE,CLOSE,Proche
general.FET_DATA,Fetching Data. Please wait...,Récupération des données. S'il vous plaît, attendez... 
general.YES,Yes,Oui 
general.NO,No,Non 
general.NO_DATA,No Data Found,Pas de Données Disponibles 
general.NOT_FOUND,Not Found,Pas Trouvé 
general.LOCAL_EQA,Local EQA,EQA locale
general.INTER_EQA,INTERNATIONAL EQA,EQA Internationale
general.AFRICAMAP,MAP OF AFRICA,CARTE DE L'AFRIQUE
general.MAPOF,MAP OF,CARTE DE
general.CTY_RESULT_AVG,Country  Results(AVG),Résultats par pays (AVG)
general.REG_RESULT_AVG,Regional  Results(AVG),Résultats régionaux (AVG)
general.CTY.PART,Country Participation,Participation des pays
general.REG.PART,Regional Participation(%),Participation régionale(%)
year.JAN,January,janvier
year.FEB,February,février
year.MAR,March,Mars
year.APR,April,avril
year.MAY,May,Mai
year.JUN,June,juin
year.JUL,July,juillet
year.AUG,August,août
year.SEP,September,septembre
year.OCT,October,octobre
year.NOV,November,novembre
year.DEC,December,décembre
general.NEW,New,Nouveau
TESTDASH.TOTALSAMPLE,Total Samples,Échantillons totaux
TESTDASH.REJSAMPLE,Rejected Samples,Échantillons rejetés
TESTDASH.TESTEDSAMPLE,Tested Samples,Échantillons testés
TESTDASH.POSSAMPLE,Positive,Positive
TESTDASH.NEGSAMPLE,Negative,Négative
TESTDASH.IN_TATAMPLE,Good TAT,Bon délai d'exécution
TESTDASH.INVSAMPLE,Invalid Series,Série invalide
TESTDASH.TOTALLABS,Total Labs,Laboratoires totaux
